index,price,brand,model,year,condition,transmission,fuel_type,kilometers_run
190,2080000,toyota,prius,2014,used,automatic,"hybrid, octane",71150
191,3600000,toyota,noah,2021,reconditioned,automatic,petrol,70307
192,5500000,toyota,corolla cross,2024,reconditioned,automatic,hybrid,12000
193,2635000,toyota,axio,2020,reconditioned,automatic,octane,77000
194,1980000,toyota,fielder,2018,used,automatic,"hybrid, octane",72202
195,3380000,toyota,esquire,2020,reconditioned,automatic,hybrid,87935
196,4380000,toyota,hiace,2020,reconditioned,automatic,"petrol, octane",78345
197,2400000,toyota,axio,2020,reconditioned,automatic,hybrid,72189
198,2400000,toyota,axio,2020,reconditioned,automatic,"petrol, hybrid, octane",53124
199,2350000,toyota,allion,2013,used,automatic,"octane, lpg",88250
200,2800000,toyota,axio,2020,reconditioned,automatic,"petrol, octane",92257
201,3200000,toyota,c-hr,2019,reconditioned,automatic,"petrol, hybrid, octane",54000
202,4300000,toyota,allion,2020,reconditioned,automatic,"petrol, octane",2000
203,3400000,toyota,noah,2019,reconditioned,automatic,"petrol, hybrid, octane",45000
204,3910000,toyota,noah,2020,reconditioned,automatic,"petrol, hybrid, octane",44000
205,4330000,toyota,corolla cross,2021,reconditioned,automatic,"petrol, hybrid, octane",18000
206,3570000,toyota,yaris cross,2021,reconditioned,automatic,"petrol, hybrid, octane",53217
207,3160000,toyota,prius,2020,reconditioned,automatic,"petrol, hybrid, octane",70638
208,3120000,toyota,prius,2019,reconditioned,automatic,"petrol, hybrid, octane",72000
209,4500000,toyota,corolla cross,2021,reconditioned,automatic,"petrol, hybrid, octane",55962
210,3000000,toyota,noah,2020,reconditioned,automatic,"petrol, hybrid, octane",54123
211,4590000,toyota,corolla cross,2022,reconditioned,automatic,"petrol, hybrid, octane",35996
212,4050000,toyota,corolla cross,2021,reconditioned,automatic,"petrol, hybrid, octane",93938
213,1850000,toyota,aqua,2020,reconditioned,automatic,"hybrid, octane",75000
214,3700000,honda,civic,2020,reconditioned,automatic,octane,56000
215,5850000,honda,cr-v,2018,reconditioned,automatic,"petrol, octane",46352
216,3950000,toyota,noah,2019,reconditioned,automatic,"petrol, octane",79010
217,5050000,toyota,voxy,2022,reconditioned,automatic,hybrid,60020
218,3700000,toyota,c-hr,2020,reconditioned,automatic,hybrid,46532
219,11000000,toyota,alphard,2021,reconditioned,automatic,hybrid,52887
220,2180000,toyota,auris,2013,used,automatic,octane,77243
221,1720000,toyota,axio,2015,used,automatic,"hybrid, octane",62103
222,2750000,toyota,axio,2020,reconditioned,automatic,hybrid,44000
223,3340000,toyota,hiace,2020,reconditioned,automatic,"petrol, octane",57800
224,2950000,toyota,land cruiser,2004,used,automatic,octane,95300
225,595000,toyota,probox,2004,used,automatic,"cng, octane",128540
226,3350000,toyota,yaris cross,2020,reconditioned,automatic,"petrol, hybrid, octane",75097
227,3900000,honda,insight,2020,reconditioned,automatic,"petrol, hybrid, octane",51152
228,3300000,toyota,noah,2020,reconditioned,automatic,"petrol, octane, other fuel type",52684
229,4550000,toyota,esquire,2020,reconditioned,automatic,"petrol, octane",60000
230,2350000,toyota,sienta,2020,reconditioned,automatic,"petrol, hybrid, octane, other fuel type",90000
231,1850000,toyota,probox,2020,reconditioned,automatic,"petrol, hybrid, octane",64254
232,4190000,toyota,corolla cross,2021,reconditioned,automatic,hybrid,11100
